index,open,high,low,close,volume,session_date
2019-11-29 13:08:00-05:00,314.45,314.45,314.42,314.44,87750,2019-11-29
2019-11-29 13:09:00-05:00,314.47,314.48,314.36,314.36,45500,2019-11-29
2019-11-29 13:10:00-05:00,314.34,314.42,314.32,314.4,60000,2019-11-29
2019-11-29 13:11:00-05:00,314.4,314.47,314.4,314.42,43750,2019-11-29
2019-11-29 13:12:00-05:00,314.42,314.47,314.42,314.45,35000,2019-11-29
2019-11-29 13:13:00-05:00,314.45,314.54,314.45,314.52,113750,2019-11-29
2019-11-29 13:14:00-05:00,314.52,314.53,314.4,314.44,122000,2019-11-29
2019-11-29 13:15:00-05:00,314.43,314.46,314.43,314.46,2250,2019-11-29
2019-11-29 13:16:00-05:00,314.24,314.31,314.24,314.31,16500,2019-11-29
2019-11-29 13:18:00-05:00,314.31,314.43,314.31,314.43,9000,2019-11-29
2019-11-29 13:19:00-05:00,314.43,314.43,314.26,314.31,11000,2019-11-29
2019-11-29 13:20:00-05:00,314.31,314.36,314.31,314.32,7750,2019-11-29
2019-11-29 13:21:00-05:00,314.35,314.35,314.35,314.35,2750,2019-11-29
2019-11-29 13:22:00-05:00,314.34,314.35,314.34,314.35,7000,2019-11-29
2019-11-29 13:23:00-05:00,314.35,314.38,314.35,314.38,2500,2019-11-29
2019-11-29 13:25:00-05:00,314.4,314.49,314.4,314.4,15750,2019-11-29
2019-11-29 13:26:00-05:00,314.44,314.48,314.4,314.47,8500,2019-11-29
2019-11-29 13:27:00-05:00,314.48,314.48,314.42,314.42,6250,2019-11-29
2019-11-29 13:28:00-05:00,314.43,314.43,314.43,314.43,750,2019-11-29
