open,high,low,close,volume,expected_minutes,observed_minutes,missing_minutes,is_complete,timestamp,session_date,market_open_et,market_close_et,timeframe
322.45,323.02,320.56,321.72,38134999.0,60,60,0,True,2020-07-15 10:30:00-04:00,2020-07-15,2020-07-15 09:30:00-04:00,2020-07-15 16:00:00-04:00,1h
321.73,321.81,319.26,320.63,38964250.0,60,60,0,True,2020-07-15 11:30:00-04:00,2020-07-15,2020-07-15 09:30:00-04:00,2020-07-15 16:00:00-04:00,1h
320.63,321.6,319.78,321.32,31410747.0,60,60,0,True,2020-07-15 12:30:00-04:00,2020-07-15,2020-07-15 09:30:00-04:00,2020-07-15 16:00:00-04:00,1h
321.32,322.18,320.76,321.87,30220500.0,60,60,0,True,2020-07-15 13:30:00-04:00,2020-07-15,2020-07-15 09:30:00-04:00,2020-07-15 16:00:00-04:00,1h
321.87,322.19,320.19,321.57,33485999.0,60,60,0,True,2020-07-15 14:30:00-04:00,2020-07-15,2020-07-15 09:30:00-04:00,2020-07-15 16:00:00-04:00,1h
321.58,322.57,321.36,321.85,17284997.0,30,30,0,True,2020-07-15 15:30:00-04:00,2020-07-15,2020-07-15 09:30:00-04:00,2020-07-15 16:00:00-04:00,1h
319.79,320.45,319.08,320.23,43206500.0,60,60,0,True,2020-07-16 09:30:00-04:00,2020-07-16,2020-07-16 09:30:00-04:00,2020-07-16 16:00:00-04:00,1h
320.23,320.69,319.34,319.95,37547749.0,60,60,0,True,2020-07-16 10:30:00-04:00,2020-07-16,2020-07-16 09:30:00-04:00,2020-07-16 16:00:00-04:00,1h
319.96,320.04,319.23,319.54,30441746.0,60,60,0,True,2020-07-16 11:30:00-04:00,2020-07-16,2020-07-16 09:30:00-04:00,2020-07-16 16:00:00-04:00,1h
319.55,320.59,319.5,320.56,26114248.0,60,60,0,True,2020-07-16 12:30:00-04:00,2020-07-16,2020-07-16 09:30:00-04:00,2020-07-16 16:00:00-04:00,1h
320.56,320.63,319.85,320.48,25576999.0,60,60,0,True,2020-07-16 13:30:00-04:00,2020-07-16,2020-07-16 09:30:00-04:00,2020-07-16 16:00:00-04:00,1h
320.48,320.84,319.21,320.78,29277500.0,60,60,0,True,2020-07-16 14:30:00-04:00,2020-07-16,2020-07-16 09:30:00-04:00,2020-07-16 16:00:00-04:00,1h
320.78,321.28,320.22,320.8,16921249.0,30,30,0,True,2020-07-16 15:30:00-04:00,2020-07-16,2020-07-16 09:30:00-04:00,2020-07-16 16:00:00-04:00,1h
321.84,321.85,319.83,320.09,37993249.0,60,60,0,True,2020-07-17 09:30:00-04:00,2020-07-17,2020-07-17 09:30:00-04:00,2020-07-17 16:00:00-04:00,1h
320.1,321.4,319.73,321.15,28077247.0,60,60,0,True,2020-07-17 10:30:00-04:00,2020-07-17,2020-07-17 09:30:00-04:00,2020-07-17 16:00:00-04:00,1h
321.14,321.66,320.68,321.44,23785750.0,60,60,0,True,2020-07-17 11:30:00-04:00,2020-07-17,2020-07-17 09:30:00-04:00,2020-07-17 16:00:00-04:00,1h
321.43,321.6,320.9,321.42,20838248.0,60,60,0,True,2020-07-17 12:30:00-04:00,2020-07-17,2020-07-17 09:30:00-04:00,2020-07-17 16:00:00-04:00,1h
321.42,322.08,321.08,321.91,19598250.0,60,60,0,True,2020-07-17 13:30:00-04:00,2020-07-17,2020-07-17 09:30:00-04:00,2020-07-17 16:00:00-04:00,1h
321.92,322.29,321.65,322.28,21281250.0,60,60,0,True,2020-07-17 14:30:00-04:00,2020-07-17,2020-07-17 09:30:00-04:00,2020-07-17 16:00:00-04:00,1h
322.28,322.56,321.56,321.7,13357750.0,30,30,0,True,2020-07-17 15:30:00-04:00,2020-07-17,2020-07-17 09:30:00-04:00,2020-07-17 16:00:00-04:00,1h
321.4,322.64,320.63,322.62,41032250.0,60,60,0,True,2020-07-20 09:30:00-04:00,2020-07-20,2020-07-20 09:30:00-04:00,2020-07-20 16:00:00-04:00,1h
322.62,323.01,322.33,322.73,29099749.0,60,60,0,True,2020-07-20 10:30:00-04:00,2020-07-20,2020-07-20 09:30:00-04:00,2020-07-20 16:00:00-04:00,1h
322.74,323.13,322.45,322.73,22514998.0,60,60,0,True,2020-07-20 11:30:00-04:00,2020-07-20,2020-07-20 09:30:00-04:00,2020-07-20 16:00:00-04:00,1h
322.73,323.31,322.66,323.29,19168750.0,60,60,0,True,2020-07-20 12:30:00-04:00,2020-07-20,2020-07-20 09:30:00-04:00,2020-07-20 16:00:00-04:00,1h
